Sentence,Stimulus,Transcription Rater 1,Score,auto_score,reason
1.0,Quiero cortarme el pelo (7),Quiero cortarme mi pelo,,3,Minor phonological/spelling error
2.0,El libro está en la mesa (7),El libro [pause] está en la mesa,,3,Minor phonological/spelling error
3.0,El carro lo tiene Pedro (8),E-[gibberish] perro,,1,Major errors / Unintelligible
4.0,El se ducha cada mañana (9),El se lucha cada mañana,,3,Minor phonological/spelling error
5.0,¿Qué dice usted que va a hacer hoy? (9),¿Qué [gibberish] que vas estoy?,,1,Major errors / Unintelligible
6.0,Dudo que sepa manejar muy bien (10),Dudo que sepa ma-mastar tan bien (tambien?),,2,Partial response / Significant errors
7.0,Las calles de esta ciudad son muy anchas (11),Las calles..es-[gibberish]...,,1,Major errors / Unintelligible
8.0,Puede que llueva mañana todo el día (12),Puede xxx mañana de todo día,,2,Partial response / Significant errors
9.0,Las casas son muy bonitas pero caras (12),A las casa es mu-son bonitas,,2,Partial response / Significant errors
10.0,Me gustan las películas que acaban bien (12),Me gusta las películas que x bien,,3,Minor phonological/spelling error
11.0,El chico con el que yo salgo es español (13),El chico con es el algo (xxx?) es español,,2,Partial response / Significant errors
12.0,Después de cenar me fui a dormir tranquilo (13),Después de fenar mi fui a tranquilo,,2,Partial response / Significant errors
13.0,Quiero una casa en la que vivan mis animales (14),Quienen que en el casa ...muchos animales,,1,Major errors / Unintelligible
14.0,A nosotros nos fascinan las fiestas grandiosas (14),A nosotros fanimos [pause] fiestas grandiosas,,2,Partial response / Significant errors
15.0,Ella sólo bebe cerveza y no come nada (15),Ella bebidas cerviamos y no comidas,,2,Partial response / Significant errors
16.0,Me gustaría que el precio de las casas bajara (15),Me gustaría ser..ella...mhh..,,1,Major errors / Unintelligible
17.0,Cruza a la derecha y después sigue todo recto (15),Cruze a la derecha de siguelo,,2,Partial response / Significant errors
18.0,Ella ha terminado de pintar su apartamento (15),Ella terminado pintar a sus apartmento,,2,Partial response / Significant errors
19.0,Me gustaría que empezara a hacer más calor pronto (15),Me gustaría se..[pause] xxx pronto,,1,Major errors / Unintelligible
20.0,El niño al que se le murió el gato está triste (16),El niño se murió el gato es muy triste,,2,Partial response / Significant errors
21.0,Una amiga mía cuida a los niños de mi vecino (16),Una mía amiga cuidado a sus niños,,2,Partial response / Significant errors
22.0,El gato que era negro fue perseguido por el perro (16),El gato-el gato quien era el nego de perro,,2,Partial response / Significant errors
23.0,Antes de poder salir él tiene que limpiar su cuarto (16),Antes de podai e salir..[pause] antes de xxx,,1,Major errors / Unintelligible
24.0,La cantidad de personas que fuman ha disminuido (17),A la cantan... [pause] muy a xxx,,1,Major errors / Unintelligible
25.0,Después de llegar a casa del trabajo tomé la cena (17),Después de llegar [pause] al trabajo...,,2,Partial response / Significant errors
26.0,El ladrón al que atrapó la policía era famoso (17),X- ladróna(?)de policio que es famoso,,1,Major errors / Unintelligible
27.0,Le pedí a un amigo que me ayudara con la tarea (17),Que ped-x una amigo [pause] a su tarea,,2,Partial response / Significant errors
28.0,El examen no fue tan difícil como me habían dicho (17),El examen no difícil.. [pause]... [gibberish],,1,Major errors / Unintelligible
29.0,¿Serías tan amable de darme el libro que está en la mesa? (17),El libro que está en la mesa,,2,Partial response / Significant errors
30.0,Hay mucha gente que no toma nada para el desayuno (17),A mucha gente xxx...,,1,Major errors / Unintelligible
,,,,0,No response
,,,,0,No response
,,,,0,No response
,,,,0,No response
,,,,0,No response
,,,,0,No response
,,,,0,No response
,,,,0,No response
,,,,0,No response
,,,,0,No response
,,,,0,No response
,,,,0,No response
,,,,0,No response
,,,,0,No response
,,,,0,No response
,,,,0,No response
,,,,0,No response
,,,,0,No response
,,,,0,No response
,,,,0,No response
,,,,0,No response
,,,,0,No response
,,,,0,No response
,,,,0,No response
,,,,0,No response
,,,,0,No response
,,,,0,No response
,,,,0,No response
,,,,0,No response
,,,,0,No response
,,,,0,No response
,,,,0,No response
,,,,0,No response
,,,,0,No response
,,,,0,No response
,,,,0,No response
,,,,0,No response
,,,,0,No response
,,,,0,No response
,,,,0,No response
,,,,0,No response
,,,,0,No response
,,,,0,No response
,,,,0,No response
,,,,0,No response
,,,,0,No response
,,,,0,No response
,,,,0,No response
,,,,0,No response
,,,,0,No response
,,,,0,No response
,,,,0,No response
,,,,0,No response
,,,,0,No response
,,,,0,No response
,,,,0,No response
,,,,0,No response
,,,,0,No response
,,,,0,No response
,,,,0,No response
,,,,0,No response
,,,,0,No response
,,,,0,No response
,,,,0,No response
,,,,0,No response
,,,,0,No response
,,,,0,No response
,,,,0,No response
,,,,0,No response
,,,,0,No response
,,,,0,No response
,,,,0,No response
,,,,0,No response
,,,,0,No response
,,,,0,No response
,,,,0,No response
,,,,0,No response
,,,,0,No response
,,,,0,No response
,,,,0,No response
,,,,0,No response
,,,,0,No response
,,,,0,No response
,,,,0,No response
,,,,0,No response
,,,,0,No response
,,,,0,No response
,,,,0,No response
,,,,0,No response
,,,,0,No response
,,,,0,No response
,,,,0,No response
,,,,0,No response
,,,,0,No response
,,,,0,No response
,,,,0,No response
,,,,0,No response
,,,,0,No response
,,,,0,No response
,,,,0,No response
,,,,0,No response
,,,,0,No response
,,,,0,No response
,,,,0,No response
,,,,0,No response
,,,,0,No response
,,,,0,No response
,,,,0,No response
,,,,0,No response
,,,,0,No response
,,,,0,No response
,,,,0,No response
,,,,0,No response
,,,,0,No response
,,,,0,No response
,,,,0,No response
,,,,0,No response
,,,,0,No response
,,,,0,No response
,,,,0,No response
,,,,0,No response
,,,,0,No response
,,,,0,No response
,,,,0,No response
,,,,0,No response
,,,,0,No response
,,,,0,No response
,,,,0,No response
,,,,0,No response
,,,,0,No response
,,,,0,No response
,,,,0,No response
,,,,0,No response
,,,,0,No response
,,,,0,No response
,,,,0,No response
,,,,0,No response
,,,,0,No response
,,,,0,No response
,,,,0,No response
,,,,0,No response
,,,,0,No response
,,,,0,No response
,,,,0,No response
,,,,0,No response
,,,,0,No response
,,,,0,No response
,,,,0,No response
,,,,0,No response
,,,,0,No response
,,,,0,No response
,,,,0,No response
,,,,0,No response
,,,,0,No response
,,,,0,No response
,,,,0,No response
,,,,0,No response
,,,,0,No response
,,,,0,No response
,,,,0,No response
,,,,0,No response
,,,,0,No response
,,,,0,No response
,,,,0,No response
,,,,0,No response
,,,,0,No response
,,,,0,No response
,,,,0,No response
,,,,0,No response
,,,,0,No response
,,,,0,No response
,,,,0,No response
,,,,0,No response
,,,,0,No response
,,,,0,No response
,,,,0,No response
,,,,0,No response
,,,,0,No response
,,,,0,No response
